time,plays
2017-01-23 10:00:00-03,1795
2017-01-23 11:00:00-03,13856
2017-01-23 12:00:00-03,12714
2017-01-23 13:00:00-03,9707
2017-01-23 14:00:00-03,4790
2017-01-23 15:00:00-03,4143
2017-01-23 16:00:00-03,3433
2017-01-23 17:00:00-03,2965
2017-01-23 18:00:00-03,2683
2017-01-23 19:00:00-03,2262
2017-01-23 20:00:00-03,1890
2017-01-23 21:00:00-03,1619
2017-01-23 22:00:00-03,1305
2017-01-23 23:00:00-03,1157
2017-01-24 00:00:00-03,794
2017-01-24 01:00:00-03,415
2017-01-24 02:00:00-03,236
2017-01-24 03:00:00-03,115
2017-01-24 04:00:00-03,47
2017-01-24 05:00:00-03,42
2017-01-24 06:00:00-03,96
2017-01-24 07:00:00-03,195
2017-01-24 08:00:00-03,246
2017-01-24 09:00:00-03,301
2017-01-24 10:00:00-03,267
2017-01-24 11:00:00-03,280
2017-01-24 12:00:00-03,240
2017-01-24 13:00:00-03,225
2017-01-24 14:00:00-03,207
2017-01-24 15:00:00-03,157
2017-01-24 16:00:00-03,135
2017-01-24 17:00:00-03,101
2017-01-24 18:00:00-03,97
2017-01-24 19:00:00-03,99
2017-01-24 20:00:00-03,136
2017-01-24 21:00:00-03,120
2017-01-24 22:00:00-03,116
2017-01-24 23:00:00-03,94
2017-01-25 00:00:00-03,78
2017-01-25 01:00:00-03,34
2017-01-25 02:00:00-03,28
2017-01-25 03:00:00-03,13
2017-01-25 04:00:00-03,5
2017-01-25 05:00:00-03,6
2017-01-25 06:00:00-03,15
2017-01-25 07:00:00-03,33
2017-01-25 08:00:00-03,43
2017-01-25 09:00:00-03,51
2017-01-25 10:00:00-03,48
2017-01-25 11:00:00-03,27
2017-01-25 12:00:00-03,48
2017-01-25 13:00:00-03,34
2017-01-25 14:00:00-03,48
2017-01-25 15:00:00-03,26
2017-01-25 16:00:00-03,30
2017-01-25 17:00:00-03,12
2017-01-25 18:00:00-03,24
2017-01-25 19:00:00-03,12
2017-01-25 20:00:00-03,14
2017-01-25 21:00:00-03,16
2017-01-25 22:00:00-03,15
2017-01-25 23:00:00-03,20
2017-01-26 00:00:00-03,18
2017-01-26 01:00:00-03,11
2017-01-26 02:00:00-03,6
2017-01-26 03:00:00-03,1
2017-01-26 04:00:00-03,3
2017-01-26 06:00:00-03,4
2017-01-26 07:00:00-03,5
2017-01-26 08:00:00-03,9
2017-01-26 09:00:00-03,5
2017-01-26 10:00:00-03,19
2017-01-26 11:00:00-03,10
2017-01-26 12:00:00-03,16
2017-01-26 13:00:00-03,12
2017-01-26 14:00:00-03,17
2017-01-26 15:00:00-03,6
2017-01-26 16:00:00-03,15
2017-01-26 17:00:00-03,12
2017-01-26 18:00:00-03,10
2017-01-26 19:00:00-03,15
2017-01-26 20:00:00-03,12
2017-01-26 21:00:00-03,14
2017-01-26 22:00:00-03,13
2017-01-26 23:00:00-03,13
2017-01-27 00:00:00-03,6
2017-01-27 01:00:00-03,3
2017-01-27 02:00:00-03,1
2017-01-27 03:00:00-03,2
2017-01-27 04:00:00-03,1
2017-01-27 05:00:00-03,2
2017-01-27 06:00:00-03,1
2017-01-27 07:00:00-03,2
2017-01-27 08:00:00-03,5
2017-01-27 09:00:00-03,4
2017-01-27 10:00:00-03,5
2017-01-27 11:00:00-03,9
2017-01-27 12:00:00-03,8
2017-01-27 13:00:00-03,15
2017-01-27 14:00:00-03,8
2017-01-27 15:00:00-03,7
2017-01-27 16:00:00-03,7
2017-01-27 17:00:00-03,4
2017-01-27 18:00:00-03,7
2017-01-27 19:00:00-03,3
2017-01-27 20:00:00-03,5
2017-01-27 21:00:00-03,8
2017-01-27 22:00:00-03,7
2017-01-27 23:00:00-03,7
2017-01-28 00:00:00-03,7
2017-01-28 01:00:00-03,3
2017-01-28 02:00:00-03,2
2017-01-28 03:00:00-03,5
2017-01-28 04:00:00-03,1
2017-01-28 05:00:00-03,2
2017-01-28 06:00:00-03,4
2017-01-28 07:00:00-03,5
2017-01-28 08:00:00-03,10
2017-01-28 09:00:00-03,7
2017-01-28 10:00:00-03,10
2017-01-28 11:00:00-03,30
2017-01-28 12:00:00-03,7
2017-01-28 13:00:00-03,8
2017-01-28 14:00:00-03,8
2017-01-28 15:00:00-03,11
2017-01-28 16:00:00-03,3
2017-01-28 19:00:00-03,3
2017-01-28 20:00:00-03,1
2017-01-28 21:00:00-03,4
2017-01-28 22:00:00-03,2
2017-01-28 23:00:00-03,5
2017-01-29 00:00:00-03,3
2017-01-29 01:00:00-03,1
2017-01-29 04:00:00-03,1
2017-01-29 05:00:00-03,2
2017-01-29 06:00:00-03,1
2017-01-29 09:00:00-03,2
2017-01-29 10:00:00-03,2
2017-01-29 11:00:00-03,3
2017-01-29 12:00:00-03,10
2017-01-29 13:00:00-03,6
2017-01-29 14:00:00-03,3
2017-01-29 15:00:00-03,9
2017-01-29 16:00:00-03,2
2017-01-29 17:00:00-03,5
2017-01-29 18:00:00-03,3
2017-01-29 19:00:00-03,2
2017-01-29 20:00:00-03,1
2017-01-29 21:00:00-03,3
2017-01-29 22:00:00-03,3
2017-01-29 23:00:00-03,1
2017-01-30 00:00:00-03,2
2017-01-30 01:00:00-03,4
2017-01-30 02:00:00-03,4
2017-01-30 03:00:00-03,2
2017-01-30 06:00:00-03,1
2017-01-30 07:00:00-03,1
2017-01-30 08:00:00-03,7
2017-01-30 09:00:00-03,1
2017-01-30 10:00:00-03,1
2017-01-30 11:00:00-03,2
2017-01-30 12:00:00-03,4
2017-01-30 13:00:00-03,5
2017-01-30 14:00:00-03,5
2017-01-30 15:00:00-03,3
2017-01-30 16:00:00-03,3
2017-01-30 17:00:00-03,1
2017-01-30 20:00:00-03,1
2017-01-30 21:00:00-03,1
2017-01-30 22:00:00-03,4
2017-01-30 23:00:00-03,4
2017-01-31 00:00:00-03,2
2017-01-31 01:00:00-03,2
2017-01-31 04:00:00-03,1
2017-01-31 07:00:00-03,1
2017-01-31 09:00:00-03,3
2017-01-31 11:00:00-03,1
2017-01-31 12:00:00-03,2
2017-01-31 13:00:00-03,2
2017-01-31 14:00:00-03,1
2017-01-31 16:00:00-03,1
2017-01-31 18:00:00-03,1
2017-01-31 20:00:00-03,1
2017-01-31 22:00:00-03,1
2017-01-31 23:00:00-03,1
2017-02-01 00:00:00-03,2
2017-02-01 01:00:00-03,1
2017-02-01 08:00:00-03,2
2017-02-01 09:00:00-03,1
2017-02-01 10:00:00-03,2
2017-02-01 11:00:00-03,2
2017-02-01 12:00:00-03,2
2017-02-01 14:00:00-03,1
2017-02-01 15:00:00-03,1
2017-02-01 16:00:00-03,1
2017-02-01 17:00:00-03,4
2017-02-01 18:00:00-03,1
2017-02-01 19:00:00-03,3
2017-02-01 20:00:00-03,1
2017-02-01 21:00:00-03,3
2017-02-02 00:00:00-03,2
2017-02-02 03:00:00-03,1
2017-02-02 09:00:00-03,2
2017-02-02 10:00:00-03,4
2017-02-02 11:00:00-03,3
2017-02-02 12:00:00-03,2
2017-02-02 14:00:00-03,1
2017-02-02 15:00:00-03,2
2017-02-02 16:00:00-03,2
2017-02-02 18:00:00-03,1
2017-02-02 19:00:00-03,1
2017-02-02 21:00:00-03,1
2017-02-02 22:00:00-03,1
2017-02-03 08:00:00-03,1
2017-02-03 09:00:00-03,1
2017-02-03 10:00:00-03,1
2017-02-03 12:00:00-03,1
2017-02-03 14:00:00-03,1
2017-02-03 15:00:00-03,1
2017-02-03 17:00:00-03,2
2017-02-03 18:00:00-03,1
2017-02-04 03:00:00-03,2
2017-02-04 08:00:00-03,1
2017-02-04 09:00:00-03,1
2017-02-04 10:00:00-03,2
2017-02-04 12:00:00-03,1
2017-02-04 14:00:00-03,1
2017-02-04 15:00:00-03,1
2017-02-04 16:00:00-03,1
2017-02-04 17:00:00-03,2
2017-02-04 18:00:00-03,4
2017-02-04 19:00:00-03,1
2017-02-04 20:00:00-03,1
2017-02-04 22:00:00-03,2
2017-02-04 23:00:00-03,2
2017-02-05 01:00:00-03,1
2017-02-05 06:00:00-03,1
2017-02-05 11:00:00-03,2
2017-02-05 12:00:00-03,1
2017-02-05 14:00:00-03,1
2017-02-05 15:00:00-03,1
2017-02-05 17:00:00-03,1
2017-02-05 18:00:00-03,1
2017-02-05 19:00:00-03,3
2017-02-05 20:00:00-03,2
2017-02-05 21:00:00-03,1
2017-02-05 22:00:00-03,2
2017-02-05 23:00:00-03,1
2017-02-06 00:00:00-03,1
2017-02-06 03:00:00-03,2
2017-02-06 08:00:00-03,1
2017-02-06 09:00:00-03,1
2017-02-06 10:00:00-03,4
2017-02-06 11:00:00-03,3
2017-02-06 12:00:00-03,2
2017-02-06 14:00:00-03,1
2017-02-06 15:00:00-03,1
2017-02-06 16:00:00-03,3
2017-02-06 17:00:00-03,2
2017-02-06 18:00:00-03,3
2017-02-06 19:00:00-03,1
2017-02-06 22:00:00-03,2
2017-02-07 01:00:00-03,2
2017-02-07 05:00:00-03,1
2017-02-07 07:00:00-03,1
2017-02-07 08:00:00-03,2
2017-02-07 09:00:00-03,1
2017-02-07 10:00:00-03,1
2017-02-07 11:00:00-03,1
2017-02-07 12:00:00-03,3
2017-02-07 13:00:00-03,1
2017-02-07 14:00:00-03,2
2017-02-07 15:00:00-03,2
2017-02-07 16:00:00-03,1
2017-02-07 17:00:00-03,1
2017-02-07 18:00:00-03,1
2017-02-07 20:00:00-03,1
2017-02-07 21:00:00-03,2
2017-02-07 22:00:00-03,1
2017-02-07 23:00:00-03,2
2017-02-08 00:00:00-03,2
2017-02-08 01:00:00-03,1
2017-02-08 05:00:00-03,1
2017-02-08 07:00:00-03,2
2017-02-08 09:00:00-03,1
2017-02-08 10:00:00-03,1
2017-02-08 13:00:00-03,1
2017-02-08 14:00:00-03,2
2017-02-08 15:00:00-03,5
2017-02-08 18:00:00-03,1
2017-02-08 19:00:00-03,2
2017-02-08 21:00:00-03,1
2017-02-08 22:00:00-03,1
2017-02-08 23:00:00-03,2
2017-02-09 02:00:00-03,1
2017-02-09 21:00:00-03,1
2017-02-10 09:00:00-03,1
2017-02-10 10:00:00-03,1
2017-02-10 17:00:00-03,1
2017-02-10 18:00:00-03,1
2017-02-10 20:00:00-03,1
2017-02-10 21:00:00-03,1
2017-02-10 22:00:00-03,1
2017-02-10 23:00:00-03,1
2017-02-11 00:00:00-03,1
2017-02-11 01:00:00-03,1
2017-02-11 06:00:00-03,1
2017-02-11 09:00:00-03,2
2017-02-11 10:00:00-03,1
2017-02-11 16:00:00-03,3
2017-02-11 23:00:00-03,1
2017-02-12 09:00:00-03,1
2017-02-12 10:00:00-03,1
2017-02-12 11:00:00-03,2
2017-02-12 13:00:00-03,1
2017-02-12 23:00:00-03,1
2017-02-13 00:00:00-03,1
2017-02-13 10:00:00-03,2
2017-02-13 12:00:00-03,1
2017-02-13 20:00:00-03,1
2017-02-13 22:00:00-03,2
2017-02-13 23:00:00-03,1
2017-02-14 16:00:00-03,1
2017-02-15 08:00:00-03,1
2017-02-16 13:00:00-03,1
2017-02-16 19:00:00-03,1
2017-02-17 21:00:00-03,1
2017-02-19 15:00:00-03,1
2017-02-19 19:00:00-03,1
2017-02-19 21:00:00-03,1
2017-02-20 01:00:00-03,1
2017-02-20 02:00:00-03,1
2017-02-20 11:00:00-03,1
2017-02-21 16:00:00-03,1
2017-02-21 18:00:00-03,1
2017-02-21 22:00:00-03,1
2017-02-23 00:00:00-03,1
2017-02-23 16:00:00-03,1
2017-02-23 18:00:00-03,1
2017-02-26 13:00:00-03,1
2017-02-26 21:00:00-03,1
2017-02-26 22:00:00-03,1
2017-02-27 00:00:00-03,1
2017-02-28 11:00:00-03,1
2017-02-28 14:00:00-03,1
2017-02-28 15:00:00-03,1
2017-03-01 18:00:00-03,1
2017-03-03 07:00:00-03,1
2017-03-03 08:00:00-03,2
2017-03-03 17:00:00-03,1
2017-03-03 18:00:00-03,2
2017-03-03 19:00:00-03,1
2017-03-04 20:00:00-03,2
2017-03-06 01:00:00-03,1
2017-03-06 08:00:00-03,1
2017-03-09 09:00:00-03,1
2017-03-11 09:00:00-03,1
2017-03-11 19:00:00-03,1
2017-03-11 23:00:00-03,1
2017-03-12 07:00:00-03,1
2017-03-12 11:00:00-03,4
2017-03-12 15:00:00-03,1
2017-03-12 22:00:00-03,1
2017-03-12 23:00:00-03,2
2017-03-13 00:00:00-03,1
2017-03-13 09:00:00-03,3
2017-03-13 10:00:00-03,6
2017-03-13 11:00:00-03,6
2017-03-13 12:00:00-03,6
2017-03-13 13:00:00-03,7
2017-03-13 14:00:00-03,7
2017-03-13 15:00:00-03,5
2017-03-13 16:00:00-03,5
2017-03-13 17:00:00-03,7
2017-03-13 18:00:00-03,3
2017-03-13 19:00:00-03,2
2017-03-13 20:00:00-03,1
2017-03-13 21:00:00-03,2
2017-03-13 22:00:00-03,4
2017-03-13 23:00:00-03,3
2017-03-14 00:00:00-03,1
2017-03-14 07:00:00-03,1
2017-03-14 10:00:00-03,1
2017-03-15 00:00:00-03,1
2017-03-15 13:00:00-03,1
2017-03-20 22:00:00-03,1
2017-03-21 13:00:00-03,1
2017-03-21 14:00:00-03,1
2017-03-21 15:00:00-03,1
2017-03-21 17:00:00-03,1
2017-03-21 18:00:00-03,1
2017-03-22 01:00:00-03,1
2017-03-22 14:00:00-03,1
2017-03-22 18:00:00-03,1
2017-03-23 13:00:00-03,1
2017-03-24 15:00:00-03,1
2017-03-26 21:00:00-03,2
2017-03-27 08:00:00-03,1
2017-03-27 13:00:00-03,1
2017-03-27 14:00:00-03,2
2017-03-27 16:00:00-03,1
2017-03-27 17:00:00-03,2
2017-03-27 18:00:00-03,3
2017-03-27 19:00:00-03,1
2017-03-27 20:00:00-03,2
2017-03-27 21:00:00-03,1
2017-03-27 23:00:00-03,1
2017-03-28 09:00:00-03,1
2017-03-28 11:00:00-03,1
2017-03-29 20:00:00-03,1
2017-04-02 14:00:00-03,1
2017-04-02 18:00:00-03,1
2017-04-03 01:00:00-03,1
2017-04-03 09:00:00-03,1
2017-04-03 15:00:00-03,1
2017-04-03 18:00:00-03,1
2017-04-03 20:00:00-03,2
2017-04-03 22:00:00-03,1
2017-04-04 19:00:00-03,1
2017-04-04 20:00:00-03,1
2017-04-04 21:00:00-03,1
2017-04-05 10:00:00-03,1
2017-04-05 11:00:00-03,1
2017-04-05 15:00:00-03,2
2017-04-05 19:00:00-03,1
2017-04-06 04:00:00-03,1
2017-04-06 19:00:00-03,1
2017-04-07 00:00:00-03,1
2017-04-07 08:00:00-03,1
2017-04-07 13:00:00-03,1
2017-04-08 00:00:00-03,1
2017-04-08 14:00:00-03,1
2017-04-08 19:00:00-03,1
2017-04-10 14:00:00-03,1
2017-04-10 15:00:00-03,1
2017-04-11 00:00:00-03,1
2017-04-11 15:00:00-03,1
2017-04-12 13:00:00-03,1
2017-04-12 22:00:00-03,2
2017-04-13 09:00:00-03,2
2017-04-13 18:00:00-03,1
2017-04-15 21:00:00-03,1
2017-04-16 10:00:00-03,1
2017-04-16 17:00:00-03,1
2017-04-17 13:00:00-03,1
2017-04-18 19:00:00-03,1
2017-04-21 16:00:00-03,1
2017-04-22 21:00:00-03,1
2017-04-23 14:00:00-03,1
2017-04-25 17:00:00-03,1
2017-04-25 21:00:00-03,1
2017-04-25 23:00:00-03,1
2017-04-27 20:00:00-03,1
2017-05-01 22:00:00-03,1
2017-05-03 18:00:00-03,1
2017-05-05 18:00:00-03,1
2017-05-14 14:00:00-03,1
2017-05-16 07:00:00-03,1
2017-05-16 18:00:00-03,1
2017-05-17 17:00:00-03,1
2017-05-21 11:00:00-03,1
2017-05-27 14:00:00-03,1
2017-05-28 14:00:00-03,2
2017-05-29 05:00:00-03,1
2017-06-02 17:00:00-03,1
2017-06-07 23:00:00-03,1
2017-06-10 11:00:00-03,1
2017-06-11 02:00:00-03,1
2017-06-15 16:00:00-03,1
2017-06-20 17:00:00-03,1
2017-06-23 08:00:00-03,1
2017-06-24 21:00:00-03,1
2017-06-25 11:00:00-03,1
2017-06-27 13:00:00-03,1
2017-06-28 22:00:00-03,1
2017-07-03 02:00:00-03,1
2017-07-03 13:00:00-03,1
2017-07-07 22:00:00-03,1
2017-07-09 14:00:00-03,1
2017-07-10 00:00:00-03,1
2017-07-10 14:00:00-03,1
2017-07-10 16:00:00-03,1
2017-07-10 19:00:00-03,1
2017-07-10 22:00:00-03,1
2017-07-11 18:00:00-03,1
2017-07-12 15:00:00-03,1
2017-07-12 18:00:00-03,1
2017-07-13 14:00:00-03,1
2017-07-16 00:00:00-03,1
2017-07-28 13:00:00-03,1
2017-08-01 17:00:00-03,1
2017-08-03 11:00:00-03,1
2017-08-03 23:00:00-03,1
2017-08-07 00:00:00-03,1
2017-08-16 07:00:00-03,1
2017-08-17 05:00:00-03,1
2017-08-18 10:00:00-03,1
2017-08-25 23:00:00-03,1
2017-08-30 10:00:00-03,1
2017-09-08 08:00:00-03,1
2017-09-10 20:00:00-03,1
2017-09-13 23:00:00-03,1
2017-09-15 00:00:00-03,1
2017-09-22 20:00:00-03,1
2017-10-09 09:00:00-03,1
2017-10-12 19:00:00-03,1
2017-10-14 19:00:00-03,1
2017-10-20 14:00:00-03,1
2017-10-23 11:00:00-03,1
2017-10-23 21:00:00-03,1
2017-10-27 03:00:00-03,1
2017-11-06 15:00:00-03,1
2017-11-10 09:00:00-03,1
2017-12-06 09:00:00-03,1
2017-12-22 20:00:00-03,1
2017-12-23 12:00:00-03,1
2017-12-23 15:00:00-03,2
2017-12-23 17:00:00-03,2
2017-12-24 15:00:00-03,1
2017-12-26 14:00:00-03,1
